Title,Location,Summary
Sales Engineering Intern - 17577,서울,"desirable. You have some Unix based scripting language (Perl, Python, sh) and some database query language (SQL), report..."
데이터 엔지니어 모집,서울 구로구,REST API 개발 - 데이터 파이프라인 설계 및 개발 운영 자동화 자격요건 - Java 또는 Python 관련 경력 3년 이상 - Git / Bash Shell Script 사용 능력 보유 - 운영 서비스 자동화...
개발자 경력/신입 사원 공개 채용,서울 남대문로5가,"전반적인 이해 • 우대사항 - Python 서비스 개발 경험자 - AWS... 경우 '22년 8월 예정자 지원 가능) • 우대사항 - Java, Python, Mysql, C# 등 WEB 개발 경험 정규직 0명 ※ 근무지..."
System Engineer (토스뱅크),서울 강남구,DBA>데이터아키텍처|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>네트워크·서버·보안>UNIX·LINUX계열 서버운영·관리
"Software Engineer, Camera 3A",서울,"driver, hal, framework, and application. Experience in any of Python, Halide, and Neon programming. About the job Google..."
"Senior System Software Engineer, DRIVE OS and BSP",서울,"SoC architectures... chip components. Strong knowledge of C/C++/ Python, QNX... Linux OS. Understanding of CPU/GPU..."
[TES물류기술연구소] 데이터 분석 경력사원,서울 중구,인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터...
영상 인식 알고리즘 개발자,서울 구로구,"1) 주요 업무 분야 : 머신 비젼, 영상 처리, 딥러닝 알고리즘 2) 사용 언어 : C, C++, Python 3) TensorFlow, Deep Learning 관련 지식 보유자 우대 4) Vision, Image..."
백엔드 개발자 (Backend Developer),서울 강남구,"메이아이의 핵심 서비스인 방문객 데이터 대시보드의 API 개발 * Python/Django/Django Rest Framework를 기반으로 API를... 이런 분을 찾습니다. * Python, Django, Django Rest..."
SCM혁신 신입/경력 사원 공개채용,서울 신천동,"system 유경험자 및 다양한 데이터 분석 및 분석툴 활용 유경험자 우대(Power BI, Tableau, Python, Visual Basic 등) 김천 상세보기 전형절차 - 지원서 접수 > 서류전형 > 직무적성..."
Sr. Corporate Application Engineer - Calibre,경기도 성남,"Linux OS, and previous experience with scripting or Tcl/ Python/Perl programming preferred Familiar with Siemens EDA’s Calibre..."
"Mondrian AI개발자 (Web, 프론트엔드, 백엔드)",인천 연수구,"c, 소프트웨어개발, MySQL, API, Python, Windows, 웹개발, 프론트엔드, Python, .NET, 백엔드 모집학력학력무관고용형태... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
Machine Learning Engineer-Eng,서울 강남구,프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
Market Research 담당자 채용,서울 중학동,"숙한 대내외 커뮤니케이션이 가능한 분 [우대사항] - 통계분석 및 프로그래밍 언어 역량을 보유하신 분(R, python, Data studio, SPSS, Tableau, etc) - SQL 쿼리사용 가능하신 분 - 영어로..."
가상자산 트레이딩 / 시스템 개발자,서울 강남구,및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다. 금융·보험·증권>투자·분석·증권·외환>자산관리|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++
AI Research Engineer for NNCF,서울,"PyTorch, Caffe, and MxNet Strong programming skills with Python and C/C++ Experiences in programming and testing on Linux..."
Data Center Operations Engineer,서울,"skills - Bash, Python, Perl, etc. Project... 년 이상의 서버 하드웨어 문제 해결 경험 스크립팅 기술 - Bash, Python, Perl 등 보유자 프로젝트 관리 경험 유창한 한국어/영어 커뮤니..."
"웹프로그래머 (경력) / PHP, Python , Java",인천 부평구,"니다. *채용인원: 1명*담당업무: ㆍ웹개발 : 프로그램 개발 및 유지보수.자격요건: ? 언어 : PHP, Python ? 최소 1개 이상의 PHP 프레임워크(Codeigniter, Laravel 등)에 대한 개발경험이 있는..."
