Title,Location,Summary
디지털미디어[Digital Media] Video 엔지니어 - 글로벌 OTT서비스 기업,서울 강남구,게임>멀티미디어(동영상·음향)>코덱·인코딩|인터넷·IT·통신·모바일·게임>멀티미디어(동영상·음향)>멀티미디어기획|인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
[SNOW] 렌더링 엔진 개발자,서울,"팩토링, 디자인 패턴, ReactiveX 활용 경험 - Java, Swift(Objective C), Lua, Python 등 다양한 언어 경험 - Computer Graphics 이해 - Image Processing 이해..."
[일본계 대기업] FAE (Field Application Engineer) 신입,서울 영등포구,"해ㆍ영상처리 이해ㆍ운전면허소지자ㆍ영어 혹은 일본어 가능자[우대사항]ㆍ Python, C/C++ 분석/작성 가능ㆍ정보처리기사ㆍEmbedded system... 지니어/ Engineer/FAE/ python/C/C++/Electronic..."
Data Center Operations Engineer,서울,"skills - Bash, Python, Perl, etc. Project... 년 이상의 서버 하드웨어 문제 해결 경험 스크립팅 기술 - Bash, Python, Perl 등 보유자 프로젝트 관리 경험 유창한 한국어/영어 커뮤니..."
DBA,서울 강남구,운영 할 수 있는 방안을 만들어요. 인터넷·IT·통신·모바일·게임>데이터베이스·DBA>DBA|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MySQL|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
S/W개발 신입/경력 정규직,서울 성동구,인터넷·IT·통신·모바일·게임>응용프로그래머>자바스크립트|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능...
2022년 상반기 정보보안 엔지니어 - 취약점파트,서울 금천구,"Top 10에 대한 설명과 구현/조치 가능 국내 컴플라이언스 대응 경험 (주요정보통신기반시설 가이드 등) Python 활용자 Kali 및 Metasploit 경험자-군필자, 경력자, 관련 학과 졸업자 우대 * 자격요건과 우대..."
"PHP, Python 신입/경력 정규직",서울 금천구,"주식회사 비즈부스터 PHP, Python 개발자 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무]*당사의 서비스(비즈탑) 솔루션 및 서비... 프로그래머>PHP |인터넷·IT·통신·모바일·게임>웹프로그래머> Python"
[AI R&D] Language AI(NLP) Research 분야 수시(22년2차) 모집,성남 판교역,"분 - 통계/Machine Learning에 대한 이해와 활용 능력 및 text 처리 기술에 대한 경험 - Python, Java 등을 이용하여 NLP 기술을 구현 가능한 분 - 최신 기술(논문, 기술문서 등)을 습득하는..."
"데이터베이스개발자, 웹개발 신입/경력 정규직",서울 영등포구,"개발자 ㆍCss/html 등 웹디자인 관련 유경험자 ㆍ자바스크립트, Python, C++, 닷넷 등 ㆍNode, Selenium, electron... 관련 유경험자ㆍ자바스크립트, Python, C++, 닷넷 등 ㆍNode..."
